Net Status Report
Filename     : C:\Users\040602.AMER\Desktop\BD-Z7MB-7Z0X0,G-01-02\Design\Z7MB-7Z0X0-PCB-G.PcbDoc
Date         : 5/2/2018
Time         : 9:47:16 AM
Time Elapsed : 00:00:00

Nets, Layer, Length
    JX1_LVDS_0_N, Signal Layers Only, 1875.369mils
    JX1_LVDS_0_P, Signal Layers Only, 1839.135mils
    JX1_LVDS_10_N, Signal Layers Only, 1865.032mils
    JX1_LVDS_10_P, Signal Layers Only, 1843.032mils
    JX1_LVDS_11_N, Signal Layers Only, 2032.14mils
    JX1_LVDS_11_P, Signal Layers Only, 2035.575mils
    JX1_LVDS_12_N, Signal Layers Only, 2220.867mils
    JX1_LVDS_12_P, Signal Layers Only, 2230.209mils
    JX1_LVDS_13_N, Signal Layers Only, 2274.838mils
    JX1_LVDS_13_P, Signal Layers Only, 2274.913mils
    JX1_LVDS_14_N, Signal Layers Only, 2331.599mils
    JX1_LVDS_14_P, Signal Layers Only, 2318.457mils
    JX1_LVDS_15_N, Signal Layers Only, 2253.406mils
    JX1_LVDS_15_P, Signal Layers Only, 2250.031mils
    JX1_LVDS_16_N, Signal Layers Only, 2296.633mils
    JX1_LVDS_16_P, Signal Layers Only, 2260.609mils
    JX1_LVDS_17_N, Signal Layers Only, 2383.372mils
    JX1_LVDS_17_P, Signal Layers Only, 2411.789mils
    JX1_LVDS_18_N, Signal Layers Only, 2515.372mils
    JX1_LVDS_18_P, Signal Layers Only, 2480.128mils
    JX1_LVDS_19_N, Signal Layers Only, 2285.309mils
    JX1_LVDS_19_P, Signal Layers Only, 2312.303mils
    JX1_LVDS_1_N, Signal Layers Only, 1872.099mils
    JX1_LVDS_1_P, Signal Layers Only, 1933.085mils
    JX1_LVDS_20_N, Signal Layers Only, 2373.544mils
    JX1_LVDS_20_P, Signal Layers Only, 2348.48mils
    JX1_LVDS_21_N, Signal Layers Only, 2365.066mils
    JX1_LVDS_21_P, Signal Layers Only, 2352.481mils
    JX1_LVDS_22_N, Signal Layers Only, 2301.124mils
    JX1_LVDS_22_P, Signal Layers Only, 2267.508mils
    JX1_LVDS_23_N, Signal Layers Only, 2534.411mils
    JX1_LVDS_23_P, Signal Layers Only, 2544.121mils
    JX1_LVDS_2_N, Signal Layers Only, 2095.917mils
    JX1_LVDS_2_P, Signal Layers Only, 2727.711mils
    JX1_LVDS_3_N, Signal Layers Only, 2004.859mils
    JX1_LVDS_3_P, Signal Layers Only, 2029.779mils
    JX1_LVDS_4_N, Signal Layers Only, 2135.506mils
    JX1_LVDS_4_P, Signal Layers Only, 2163.282mils
    JX1_LVDS_5_N, Signal Layers Only, 2115.044mils
    JX1_LVDS_5_P, Signal Layers Only, 2090.763mils
    JX1_LVDS_6_N, Signal Layers Only, 1821.516mils
    JX1_LVDS_6_P, Signal Layers Only, 1778.381mils
    JX1_LVDS_7_N, Signal Layers Only, 1762.74mils
